team,classification,district,games_played,starting_year,starting_off,starting_def,starting_ovr,final_off,final_def,final_ovr
Pattonville,6,3,3,2025,17.3,4.93,22.23,17.172242038053636,12.90233615685014,30.074578194903776
Smithville,4,8,3,2025,16.91,17.93,34.84,15.622819308722764,13.487975835817585,29.110795144540347
Oak Park,6,8,3,2025,12.4,8.38,20.78,16.017215894452765,12.918932588827793,28.936148483280558
Maryville,3,8,3,2025,10.66,10.71,21.38,12.485799322750879,16.44819782781121,28.93399715056209
Lamar,2,4,3,2025,6.84,14.14,20.98,10.50381327579402,18.366517486497962,28.87033076229198
Francis Howell,6,4,2,2025,16.81,11.03,27.84,17.38436092461324,11.266374950890773,28.65073587550401
Chaminade College Prep,5,3,3,2025,12.3,9.3,21.6,15.433672742961496,12.192470403899586,27.626143146861082
Lebanon,5,5,3,2025,19.69,9.55,29.24,17.327894766333554,10.22864214458533,27.556536910918883
Seckman,6,1,3,2025,9.08,15.06,24.14,14.0273155230936,12.858393894563935,26.885709417657537
Raytown,5,8,3,2025,13.02,10.41,23.42,12.199845099155512,14.436583446292266,26.636428545447778
Lift for Life Academy Charter,4,3,1,2025,15.68,11.01,26.68,9.078116044668601,17.180099254252685,26.258215298921286
Park Hill South,6,7,3,2025,8.52,14.52,23.04,12.209325221399283,13.795691820828388,26.00501704222767
West Plains,5,5,2,2025,15.97,11.19,27.16,13.5402674011764,12.458592250264338,25.99885965144074
St. Mary's South Side,5,1,1,2025,11.97,13.62,25.59,8.592547788902252,17.178540233472237,25.77108802237449
Ozark,6,5,3,2025,19.13,4.76,23.89,16.358182141732,8.707550364644462,25.065732506376463
Nevada,3,6,3,2025,13.86,13.05,26.91,11.488473478116964,13.078494924766824,24.566968402883788
Festus,4,1,3,2025,16.22,11.17,27.39,12.958306017378732,11.35676589121001,24.31507190858874
Logan-Rogersville,4,6,3,2025,13.39,3.63,17.02,15.21042679520151,8.883320966647979,24.09374776184949
Odessa,4,7,3,2025,13.27,6.48,19.75,12.780870776735169,11.03374021616588,23.81461099290105
Ft. Zumwalt North,5,4,3,2025,13.05,21.17,34.22,9.854069220283384,13.808224877378438,23.66229409766182
Branson,5,6,2,2025,10.81,11.73,22.54,13.395881648706155,10.188354364180153,23.584236012886308
Central (St. Joseph),6,8,3,2025,11.28,5.06,16.34,13.62631645025475,9.578043115758494,23.204359566013245
Glendale,5,5,3,2025,18.09,4.73,22.83,16.350230228746824,6.391856967496801,22.742087196243624
Rockwood Summit,5,2,3,2025,8.99,15.19,24.18,11.67564944431445,10.956001588365025,22.631651032679475
Ladue Horton Watkins,5,3,3,2025,3.98,12.78,16.76,9.568485494802127,12.88845604287023,22.456941537672357
Parkway West,5,2,3,2025,12.25,12.3,24.55,10.636115850626458,11.811189165170143,22.4473050157966
Ft. Zumwalt West,6,4,3,2025,11.77,20.83,32.6,10.70594048176655,10.209623800533498,20.915564282300046
Thayer,1,1,1,2025,12.57,9.93,22.5,13.06948384597448,7.81350816522186,20.88299201119634
Lutheran North,3,3,2,2025,7.9,7.16,15.06,12.329986851044806,8.02481893751788,20.354805788562686
Northwest (Cedar Hill),6,1,2,2025,13.2,5.95,19.15,9.375311162409066,10.611599555405705,19.986910717814773
Mid-Buchanan,2,8,3,2025,11.38,3.94,15.32,14.588703641575503,4.862258281101944,19.450961922677447
Parkway North,4,4,3,2025,5.7,15.89,21.59,5.491930369078788,13.49136058949407,18.98329095857286
Centralia,2,7,3,2025,8.8,8.09,16.89,9.510622025364398,9.149003921211856,18.659625946576256
Carl Junction,4,6,3,2025,12.74,8.25,20.99,10.529085279096018,7.793282765621943,18.32236804471796
Monett,4,6,3,2025,25.19,-3.23,21.95,19.170804943193428,-1.0148092408801945,18.155995702313234
Liberty (Mountain View),2,3,2,2025,4.28,16.54,20.82,2.521205982225007,15.485682352461424,18.00688833468643
Oakville,6,1,3,2025,3.18,18.51,21.68,2.329160696387844,15.362427766067201,17.691588462455044
Liberty (Wentzville),6,4,3,2025,12.69,11.2,23.88,9.287856409670347,8.321207128696217,17.609063538366563
Mountain Grove,3,5,3,2025,13.08,9.58,22.66,5.452562200456304,10.763551292962577,16.21611349341888
Warrensburg,4,5,3,2025,11.21,10.87,22.08,9.170764933609057,6.938745114507958,16.109510048117016
Mt. Vernon,3,6,3,2025,5.17,9.82,14.99,2.8309374284007958,13.091576653926326,15.922514082327123
MICDS,3,3,3,2025,5.03,10.75,15.77,11.429770108422323,4.363751981910023,15.793522090332345
Kickapoo,6,5,3,2025,3.92,10.46,14.38,4.73868905150152,10.906572809430491,15.645261860932012
Camdenton,5,5,2,2025,6.39,-5.84,0.56,17.32395461958161,-2.3031723169008367,15.020782302680773
Hillsboro,4,1,3,2025,0.38,2.38,2.76,6.939887714372466,7.848843867502203,14.788731581874668
Vianney,4,2,3,2025,12.33,0.72,13.05,14.80394011683469,-0.936280524641458,13.867659592193233
