team,classification,district,games_played,starting_year,starting_off,starting_def,starting_ovr,final_off,final_def,final_ovr
Hogan Prep Academy Charter,2,6,1,2025,-24.65,-19.57,-44.22,-21.20815354860785,-16.89585009001167,-38.10400363861952
Central (Kansas City),4,7,2,2025,-30.18,-20.82,-51.0,-24.227109756711965,-14.690442760062115,-38.91755251677408
Sherwood,1,5,2,2025,-22.51,-17.76,-40.26,-25.061941203065082,-14.345639250864188,-39.40758045392927
Riverview Gardens,4,3,3,2025,-29.33,-14.17,-43.5,-23.659294165404013,-15.895698864332584,-39.55499302973659
Eldon,3,4,3,2025,-13.92,-15.2,-29.12,-22.314750568696834,-18.172268256063703,-40.48701882476054
Hermann,2,2,3,2025,-18.84,-15.99,-34.83,-21.658826935098727,-19.177369457573633,-40.83619639267236
St. Charles,4,4,2,2025,-22.12,-13.76,-35.88,-22.666936713634374,-18.184309763391227,-40.8512464770256
Plattsburg,1,6,3,2025,-17.42,-38.09,-55.51,-13.947479176241346,-27.917334046084914,-41.86481322232626
Trenton,2,8,3,2025,-19.53,-21.16,-40.69,-21.95475523036367,-21.386275386124858,-43.341030616488524
Francis Howell North,6,3,3,2025,-27.92,-18.16,-46.08,-28.21990761971687,-15.268628781808372,-43.488536401525245
Harrisburg,1,7,3,2025,-11.67,-16.08,-27.75,-23.8457219161589,-20.643554454401755,-44.48927637056066
Fayette,1,7,3,2025,-23.43,-19.48,-42.91,-27.26536209818675,-17.489175757037124,-44.75453785522387
Owensville,3,4,3,2025,-24.3,-22.31,-46.61,-23.91996461258301,-21.290025924022224,-45.20999053660523
Lutheran South,3,2,3,2025,-21.13,-28.11,-49.25,-16.564337227822648,-30.44441923957667,-47.00875646739932
Mark Twain,2,7,3,2025,-29.12,-25.78,-54.89,-29.657873567632908,-19.872480996353886,-49.53035456398679
Normandy Collaborative,3,3,3,2025,-37.36,-26.2,-63.56,-31.37494385900071,-21.536671240786564,-52.91161509978727
Lexington,2,6,2,2025,-20.9,-25.12,-46.02,-28.721385559338916,-24.34573500671327,-53.06712056605218
Versailles,2,5,3,2025,-32.08,-40.48,-72.57,-27.419599905891275,-26.05128308248883,-53.470882988380104
Affton,4,2,3,2025,-28.69,-26.46,-55.15,-29.96736455246059,-23.995741856832574,-53.96310640929316
Diamond,1,3,2,2025,-26.44,-28.87,-55.31,-26.533446487511466,-28.73227908537933,-55.265725572890794
Northeast (Kansas City),4,8,2,2025,-23.1,-22.22,-45.32,-26.16695446467241,-29.89211805317892,-56.059072517851334
KIPP KC Legacy,2,6,2,2025,-37.06,-27.95,-65.01,-31.960306088116,-24.425237244030875,-56.385543332146874
Doniphan,3,1,2,2025,-28.85,-23.89,-52.74,-33.67098880398093,-22.858189983936416,-56.529178787917346
Linn,1,4,2,2025,-27.1,-32.99,-60.09,-29.103523664986447,-29.510065104265625,-58.613588769252075
Cabool,1,1,3,2025,-28.6,-27.93,-56.53,-29.3003662363313,-29.84054715596668,-59.140913392297975
East Prairie,2,1,3,2025,-21.11,-26.31,-47.42,-33.12170426740575,-26.214240626700143,-59.33594489410589
Highland,2,7,3,2025,-23.95,-32.81,-56.76,-25.862747604574647,-33.740092853466315,-59.60284045804096
Principia,1,2,2,2021,-30.84,-37.46,-68.29,-22.091917331763266,-38.934744275388084,-61.026661607151354
Priory,3,3,3,2025,-32.04,-32.92,-64.95,-28.17205850535373,-32.97715736511081,-61.149215870464545
Crystal City,1,2,2,2025,-27.04,-31.13,-58.18,-28.779241224753168,-33.77428649671319,-62.55352772146635
Malden,1,1,3,2025,-33.83,-36.83,-70.66,-31.899019135353935,-31.3497111075995,-63.248730242953435
East (Kansas City),4,7,2,2022,-29.26,-27.63,-56.89,-32.520778604038306,-30.97323043113108,-63.494009035169384
Milan,1,8,2,2025,-34.59,-36.06,-70.65,-31.759223048417876,-33.32328689355193,-65.0825099419698
Veritas Christian Academy,1,2,1,2025,-32.03,-31.86,-63.89,-39.17206069740119,-29.299912602838884,-68.47197330024008
Confluence Prep Academy Charter,2,2,2,2019,-36.89,-25.49,-62.38,-42.87449483141583,-36.33831263794477,-79.2128074693606
Duchesne,2,2,3,2025,-46.38,-46.31,-92.69,-47.31236572569344,-37.084189787608125,-84.39655551330156
