school_name,school_id,sport,sport_id,season,schedule_url,scrape_active
Affton High School,4,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=68,FALSE
Affton High School,4,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=12,FALSE
Affton High School,4,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=8,FALSE
Affton High School,4,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=5,FALSE
Affton High School,4,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=6,FALSE
Affton High School,4,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=9,FALSE
Affton High School,4,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=4,FALSE
Affton High School,4,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=4&alg=3,FALSE
Albany High School,7,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=1,FALSE
Albany High School,7,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=68,FALSE
Albany High School,7,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=12,FALSE
Albany High School,7,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=8,FALSE
Albany High School,7,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=5,FALSE
Albany High School,7,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=6,FALSE
Albany High School,7,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=9,FALSE
Albany High School,7,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=4,FALSE
Albany High School,7,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=7&alg=3,FALSE
Alton High School,8,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=1,FALSE
Alton High School,8,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=68,FALSE
Alton High School,8,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=12,FALSE
Alton High School,8,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=8,FALSE
Alton High School,8,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=5,FALSE
Alton High School,8,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=6,FALSE
Alton High School,8,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=9,FALSE
Alton High School,8,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=4,FALSE
Alton High School,8,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=8&alg=3,FALSE
Appleton City High School,20,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=1,FALSE
Appleton City High School,20,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=68,FALSE
Appleton City High School,20,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=12,FALSE
Appleton City High School,20,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=8,FALSE
Appleton City High School,20,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=5,FALSE
Appleton City High School,20,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=6,FALSE
Appleton City High School,20,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=9,FALSE
Appleton City High School,20,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=4,FALSE
Appleton City High School,20,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=20&alg=3,FALSE
Arcadia Valley High School,242,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=1,FALSE
Arcadia Valley High School,242,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=68,FALSE
Arcadia Valley High School,242,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=12,FALSE
Arcadia Valley High School,242,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=8,FALSE
Arcadia Valley High School,242,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=5,FALSE
Arcadia Valley High School,242,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=6,FALSE
Arcadia Valley High School,242,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=9,FALSE
Arcadia Valley High School,242,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=4,FALSE
Arcadia Valley High School,242,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=242&alg=3,FALSE
Archie High School,22,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=1,FALSE
Archie High School,22,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=68,FALSE
Archie High School,22,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=12,FALSE
Archie High School,22,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=8,FALSE
Archie High School,22,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=5,FALSE
Archie High School,22,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=6,FALSE
Archie High School,22,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=9,FALSE
Archie High School,22,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=4,FALSE
Archie High School,22,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=22&alg=3,FALSE
Ash Grove High School,24,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=1,FALSE
Ash Grove High School,24,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=68,FALSE
Ash Grove High School,24,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=12,FALSE
Ash Grove High School,24,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=8,FALSE
Ash Grove High School,24,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=5,FALSE
Ash Grove High School,24,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=6,FALSE
Ash Grove High School,24,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=9,FALSE
Ash Grove High School,24,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=4,FALSE
Ash Grove High School,24,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=24&alg=3,FALSE
Atlanta High School,27,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=1,FALSE
Atlanta High School,27,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=68,FALSE
Atlanta High School,27,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=12,FALSE
Atlanta High School,27,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=8,FALSE
Atlanta High School,27,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=5,FALSE
Atlanta High School,27,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=6,FALSE
Atlanta High School,27,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=9,FALSE
Atlanta High School,27,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=4,FALSE
Atlanta High School,27,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=27&alg=3,FALSE
Aurora High School,30,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=1,FALSE
Aurora High School,30,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=68,FALSE
Aurora High School,30,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=12,FALSE
Aurora High School,30,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=8,FALSE
Aurora High School,30,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=5,FALSE
Aurora High School,30,Girls Basketball,6,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=6,FALSE
Aurora High School,30,Girls Soccer,9,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=9,FALSE
Aurora High School,30,Spring Baseball,4,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=4,FALSE
Aurora High School,30,Spring Softball,3,Spring,https://www.mshsaa.org/MySchool/Schedule.aspx?s=30&alg=3,FALSE
Ava High School,5,Football,1,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=1,FALSE
Ava High School,5,Fall Softball,68,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=68,FALSE
Ava High School,5,Girls Volleyball,12,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=12,FALSE
Ava High School,5,Boys Soccer,8,Fall,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=8,FALSE
Ava High School,5,Boys Basketball,5,Winter,https://www.mshsaa.org/MySchool/Schedule.aspx?s=5&alg=5,FALSE
