date,team1,score1,team2,score2,forfeit,overtime
2026-08-28,Versailles,0,Skyline,37,False,False
2026-08-28,Hazelwood Central,2,SLUH,43,False,False
2026-08-28,Harrisonville,14,Smithville,35,False,False
2026-08-28,North Callaway,42,South Callaway,16,False,False
2026-08-28,Mid-Buchanan,48,South Harrison,6,False,False
2026-08-28,McCluer North,43,St. Charles,6,False,False
2026-08-28,North Point,28,St. Dominic,31,False,False
2026-08-28,Salem,8,St. James,23,False,False
2026-08-28,Center,35,St. Michael the Archangel,16,False,False
2026-08-28,Dexter,7,Ste. Genevieve,32,False,False
2026-08-28,El Dorado Springs,2,Stockton with Sheldon,38,False,False
2026-08-28,Carl Junction,40,Strafford,3,False,False
2026-08-28,Rolla,20,Sullivan,50,False,False
2026-08-28,East Buchanan,41,Trenton,15,False,False
2026-08-28,Eureka,49,Troy Buchanan,48,False,False
2026-08-28,Washington,21,Union,28,False,False
2026-08-28,Hayti,14,Valle Catholic,55,False,False
2026-08-28,Westran,32,Van-Far,14,False,False
2026-08-28,Smith-Cotton,21,Warrensburg,32,False,False
2026-08-28,Wright City,7,Warrenton,34,False,False
2026-08-28,Willard,34,Waynesville,21,False,False
2026-08-28,Francis Howell North,8,Webster Groves,22,False,False
2026-08-28,Maysville,6,West Platte,35,False,False
2026-08-28,Holt,21,Westminster Christian Academy,37,False,False
2026-08-28,Raytown South,20,William Chrisman,21,False,False
2026-08-28,Crystal City,12,Winfield,49,False,False
2026-08-28,Orchard Farm,,Ft. Zumwalt South,,False,False
2026-08-29,Lathrop,16,Central (Kansas City),0,False,False
2026-08-29,McCluer,8,Gateway with Soldan International Studies,30,False,False
2026-08-29,Hazelwood East,13,Hazelwood West,21,False,False
2026-08-29,"Pleasant Hope with Halfway, Marion C. Early",32,KIPP KC Legacy,38,False,False
2026-08-29,Principia,28,Riverview Gardens,66,False,False
2026-09-03,Perryville,,DeSoto,,False,False
2026-09-03,Francis Howell,,Ft. Zumwalt North,,False,False
2026-09-03,Francis Howell Central,,Hazelwood Central,,False,False
2026-09-03,Hillsboro,,Hazelwood East,,False,False
2026-09-03,Lindbergh,,Oakville,,False,False
2026-09-03,Parkway Central,,Parkway North,,False,False
2026-09-03,Hazelwood West,,Pattonville,,False,False
2026-09-03,Clayton with Brentwood,,St. Charles,,False,False
2026-09-03,Ladue Horton Watkins,,Vianney,,False,False
2026-09-03,Warrenton,,Washington,,False,False
2026-09-04,Strafford,,Adrian,,False,False
2026-09-04,Crystal City,,Affton,,False,False
2026-09-04,Cassville,,Aurora,,False,False
2026-09-04,Logan-Rogersville,,Ava,,False,False
2026-09-04,Capital City,,Battle,,False,False
2026-09-04,Central (St. Joseph),,Benton,,False,False
2026-09-04,Raymore-Peculiar,,Blue Springs,,False,False
2026-09-04,Platte County,,Blue Springs South,,False,False
2026-09-04,Palmyra,,Bowling Green,,False,False
2026-09-04,Lafayette County,,Brookfield,,False,False
2026-09-04,Lawson,,Cameron,,False,False
2026-09-04,De Smet Jesuit,,Cardinal Ritter,,False,False
2026-09-04,Nevada,,Carl Junction,,False,False
2026-09-04,Lebanon,,Carthage,,False,False
2026-09-04,Central (New Madrid County),,Caruthersville,,False,False
2026-09-04,Van Horn,,Center,,False,False
2026-09-04,Jefferson (Festus),,Central (Park Hills),,False,False
2026-09-04,Hallsville,,Centralia,,False,False
2026-09-04,Poplar Bluff,,Chaminade College Prep,,False,False
2026-09-04,SLUH,,Christian Brothers College,,False,False
2026-09-04,Stockton with Sheldon,,Clever,,False,False
2026-09-04,Odessa,,Clinton,,False,False
2026-09-04,Carrollton,,Cole Camp,,False,False
2026-09-04,West Platte,,Crest Ridge with Chilhowee,,False,False
2026-09-04,Perryville,,DeSoto,,False,False
2026-09-04,Sikeston,,Dexter,,False,False
2026-09-04,Cabool,,Doniphan,,False,False
2026-09-04,KIPP KC Legacy,,East (Kansas City),,False,False
2026-09-04,South Harrison,,East Buchanan,,False,False
2026-09-04,McDonald County,,East Newton,,False,False
2026-09-04,Malden,,East Prairie,,False,False
2026-09-04,Ash Grove,,El Dorado Springs,,False,False
2026-09-04,Versailles,,Eldon,,False,False
2026-09-04,Hannibal,,Eureka,,False,False
2026-09-04,Hillcrest,,Fair Grove,,False,False
2026-09-04,Sullivan,,Farmington,,False,False
2026-09-04,St. Clair,,Father Tolton,,False,False
2026-09-04,Trenton,,Fayette,,False,False
2026-09-04,Herculaneum,,Fredericktown,,False,False
2026-09-04,Lutheran St. Charles,,Ft. Zumwalt East,,False,False
2026-09-04,Union,,Ft. Zumwalt West,,False,False
2026-09-04,Penney,,Gallatin with Tri-County,,False,False
2026-09-04,Bayless with Hancock,,Grandview (Hillsboro),,False,False
2026-09-04,Clark County,,Harrisburg,,False,False
2026-09-04,Bolivar,,Harrisonville,,False,False
2026-09-04,South Callaway,,Hermann,,False,False
2026-09-04,Helias Catholic,,Hickman,,False,False
2026-09-04,Sarcoxie,,Hollister,,False,False
2026-09-04,Ft. Zumwalt South,,Holt,,False,False
2026-09-04,Springfield Catholic,,Houston,,False,False
2026-09-04,Camdenton,,Jefferson City,,False,False
2026-09-04,Ritenour,,Jennings,,False,False
2026-09-04,Nixa,,Joplin,,False,False
2026-09-04,Grain Valley,,Kearney,,False,False
2026-09-04,Chillicothe,,Kirksville,,False,False
2026-09-04,Seneca,,Lamar,,False,False
2026-09-04,Northeast (Kansas City),,Lathrop,,False,False
2026-09-04,Park Hill,,Lee's Summit West,,False,False
2026-09-04,Plattsburg,,Lexington,,False,False
2026-09-04,Lafayette (Wildwood),,Liberty (Wentzville),,False,False
2026-09-04,Liberty,,Liberty North,,False,False
2026-09-04,University Academy Charter with Ewing Marion Kauffman,,Lone Jack with Kingsville,,False,False
2026-09-04,Blair Oaks,,Lutheran North,,False,False
2026-09-04,Salisbury,,Marceline,,False,False
2026-09-04,Forsyth,,Marionville,,False,False
2026-09-04,Monroe City,,Mark Twain,,False,False
2026-09-04,St. Dominic,,Marquette,,False,False
2026-09-04,Boonville,,Marshall,,False,False
2026-09-04,Pleasant Hill,,Maryville,,False,False
2026-09-04,North Platte,,Maysville,,False,False
2026-09-04,St. Pius X (Festus),,Mehlville,,False,False
2026-09-04,Fulton,,Mexico,,False,False
2026-09-04,Putnam County,,Mid-Buchanan,,False,False
2026-09-04,Liberty (Mountain View),,Miller,,False,False
2026-09-04,Osage,,Moberly,,False,False
2026-09-04,Mt. Vernon,,Monett,,False,False
2026-09-04,California,,Montgomery County,,False,False
2026-09-04,Glendale,,Neosho,,False,False
2026-09-04,Macon,,North Callaway,,False,False
2026-09-04,Fox,,Northwest (Cedar Hill),,False,False
2026-09-04,Knob Noster with Leeton,,Oak Grove,,False,False
2026-09-04,North Kansas City,,Oak Park,,False,False
2026-09-04,Pacific,,Orchard Farm,,False,False
2026-09-04,Grandview,,Park Hill South,,False,False
2026-09-04,Parkway West,,Parkway South,,False,False
2026-09-04,Holden,,Pembroke Hill,,False,False
2026-09-04,Central (Kansas City),,"Pleasant Hope with Halfway, Marion C. Early",,False,False
2026-09-04,Saxony Lutheran,,Portageville,,False,False
2026-09-04,Charleston,,Potosi,,False,False
2026-09-04,Kennett,,Priory,,False,False
2026-09-04,Belton,,Raytown,,False,False
2026-09-04,Lincoln College Prep,,Raytown South,,False,False
2026-09-04,Marshfield,,Reeds Spring,,False,False
2026-09-04,Kickapoo,,Republic,,False,False
2026-09-04,MICDS,,Richmond,,False,False
2026-09-04,Valle Catholic,,Rockwood Summit,,False,False
2026-09-04,Branson,,Rolla,,False,False
2026-09-04,Winnetonka,,Ruskin,,False,False
2026-09-04,Van-Far,,Russellville,,False,False
2026-09-04,Linn,,Salem,,False,False
2026-09-04,Smithville,,Savannah,,False,False
2026-09-04,Highland,,Scotland County,,False,False
2026-09-04,Kelly,,Scott City with Chaffee,,False,False
2026-09-04,North Point,,Seckman,,False,False
2026-09-04,Rock Bridge,,Smith-Cotton,,False,False
2026-09-04,Westran,,South Shelby,,False,False
2026-09-04,North County,,Southern Boone,,False,False
2026-09-04,Central (Cape Girardeau),,St. Charles West,,False,False
2026-09-04,Owensville,,St. Francis Borgia,,False,False
2026-09-04,Cuba with Steelville,,St. James,,False,False
2026-09-04,Festus,,St. Mary's South Side,,False,False
2026-09-04,St. Pius X (Kansas City),,St. Michael the Archangel,,False,False
2026-09-04,Ste. Genevieve,,St. Vincent,,False,False
2026-09-04,Fort Osage,,Staley,,False,False
2026-09-04,Butler,,Summit Christian Academy,,False,False
2026-09-04,Francis Howell North,,Timberland,,False,False
2026-09-04,Pierce City,,Tipton with Bunceton,,False,False
2026-09-04,William Chrisman,,Truman,,False,False
2026-09-04,Excelsior Springs,,Warrensburg,,False,False
2026-09-04,Buffalo,,Warsaw,,False,False
2026-09-04,Waynesville,,Webb City,,False,False
2026-09-04,Mountain Grove,,West Plains,,False,False
2026-09-04,Ozark,,Willard,,False,False
2026-09-04,Skyline,,Willow Springs,,False,False
2026-09-04,Sherwood,,Windsor,,False,False
2026-09-04,Lutheran South,,Windsor (Imperial),,False,False
2026-09-04,Louisiana,,Winfield,,False,False
2026-09-04,Westminster Christian Academy,,Wright City,,False,False
2026-09-05,McCluer,,McCluer North,,False,False
2026-09-05,Gateway with Soldan International Studies,,Miller Career Academy with Sumner,,False,False
2026-09-05,Kennett,,Priory,,False,False
2026-09-05,Normandy Collaborative,,Riverview Gardens,,False,False
2026-09-05,Duchesne,,Veritas Christian Academy,,False,False
2026-09-10,Ruskin,,Central (Kansas City),,False,False
2026-09-10,Parkway South,,Clayton with Brentwood,,False,False
2026-09-10,Orchard Farm,,Ft. Zumwalt East,,False,False
2026-09-10,Westminster Christian Academy,,John Burroughs,,False,False
2026-09-10,Riverview Gardens,,Ladue Horton Watkins,,False,False
2026-09-10,Oakville,,McCluer,,False,False
2026-09-10,Lutheran South,,MICDS,,False,False
2026-09-10,Ste. Genevieve,,Miller Career Academy with Sumner,,False,False
2026-09-10,Parkway West,,Parkway Central,,False,False
2026-09-10,Eureka,,Parkway North,,False,False
2026-09-11,Webster Groves,,Affton,,False,False
2026-09-11,Stockton with Sheldon,,Ash Grove,,False,False
2026-09-11,Mountain Grove,,Ava,,False,False
2026-09-11,Raytown South,,Belton,,False,False
2026-09-11,Blue Springs,,Blue Springs South,,False,False
2026-09-11,West Plains,,Bolivar,,False,False
2026-09-11,Eldon,,Boonville,,False,False
2026-09-11,Wright City,,Bowling Green,,False,False
2026-09-11,Crest Ridge with Chilhowee,,Butler,,False,False
2026-09-11,Willow Springs,,Cabool,,False,False
2026-09-11,Hallsville,,California,,False,False
2026-09-11,Smith-Cotton,,Camdenton,,False,False
2026-09-11,Excelsior Springs,,Cameron,,False,False
2026-09-11,Hickman,,Capital City,,False,False
2026-09-11,Seneca,,Cassville,,False,False
2026-09-11,Highland,,Centralia,,False,False
2026-09-11,SLUH,,Chaminade College Prep,,False,False
2026-09-11,Forsyth,,Clever,,False,False
2026-09-11,Center,,Clinton,,False,False
2026-09-11,Bayless with Hancock,,Crystal City,,False,False
2026-09-11,Grandview (Hillsboro),,Cuba with Steelville,,False,False
2026-09-11,Christian Brothers College,,De Smet Jesuit,,False,False
2026-09-11,St. Charles,,Duchesne,,False,False
2026-09-11,Mid-Buchanan,,East Buchanan,,False,False
2026-09-11,Doniphan,,East Prairie,,False,False
2026-09-11,Hollister,,Fair Grove,,False,False
2026-09-11,Central (Cape Girardeau),,Farmington,,False,False
2026-09-11,Grain Valley,,Fort Osage,,False,False
2026-09-11,Hazelwood West,,Fox,,False,False
2026-09-11,St. Pius X (Kansas City),,Francis Howell,,False,False
2026-09-11,St. Charles West,,Francis Howell North,,False,False
2026-09-11,Francis Howell Central,,Ft. Zumwalt South,,False,False
2026-09-11,Ft. Zumwalt North,,Ft. Zumwalt West,,False,False
2026-09-11,Osage,,Fulton,,False,False
2026-09-11,Willard,,Glendale,,False,False
2026-09-11,Odessa,,Harrisonville,,False,False
2026-09-11,Rockwood Summit,,Hazelwood Central,,False,False
2026-09-11,Battle,,Helias Catholic,,False,False
2026-09-11,Jefferson (Festus),,Herculaneum,,False,False
