class,district,rank,team,total_points,wins,losses,games_played,games_counted_in_sos,avg_win_loss,avg_class_bonus,avg_differential,sos_term
2,5,5,South Callaway,32.75,2,2,4,4,15.0,0.0,2.75,15.0
2,5,6,Versailles,32.5,2,2,4,4,15.0,2.5,0.0,15.0
2,5,7,Cole Camp,27.6667,1,3,4,4,12.5,2.5,-4.0,16.6667
2,6,1,Hogan Prep Academy Charter,39.4167,1,2,3,3,13.3333,13.3333,-1.0,13.75
2,6,2,KIPP KC Legacy,35.75,2,2,4,4,15.0,10.0,-1.75,12.5
2,6,3,Butler,34.6667,2,2,4,4,15.0,2.5,3.0,14.1667
2,6,4,Lafayette County,28.1667,1,3,4,4,12.5,2.5,-3.5,16.6667
2,6,5,Holden,26.4167,1,3,4,4,12.5,5.0,-7.75,16.6667
2,6,6,Lone Jack with Kingsville,23.5,1,3,4,4,12.5,5.0,-6.5,12.5
2,6,7,Lexington,11.5,0,4,4,4,10.0,0.0,-11.0,12.5
2,7,1,Centralia,55.5,4,0,4,4,20.0,7.5,13.0,15.0
2,7,2,Palmyra,37.8333,2,2,4,4,15.0,5.0,2.0,15.8333
2,7,3,Monroe City,35.8333,2,2,4,4,15.0,5.0,0.0,15.8333
2,7,4,Bowling Green,30.8333,2,2,4,4,15.0,2.5,0.0,13.3333
2,7,5,Mark Twain,23.6667,1,3,4,4,12.5,2.5,-3.0,11.6667
2,7,6,Clark County,18.5,1,3,4,4,12.5,0.0,-6.5,12.5
2,7,7,Highland,12.8333,0,4,4,4,10.0,0.0,-13.0,15.8333
2,8,1,Lathrop,55.25,4,0,4,4,20.0,10.0,10.25,15.0
2,8,2,Mid-Buchanan,50.5,4,0,4,4,20.0,0.0,13.0,17.5
2,8,3,Brookfield,45.5,4,0,4,4,20.0,0.0,13.0,12.5
2,8,4,West Platte,44.5833,4,0,4,4,20.0,0.0,11.25,13.3333
2,8,5,Lawson,31.1667,2,2,4,4,15.0,2.5,-3.0,16.6667
2,8,6,Trenton,14.0,0,4,4,4,10.0,0.0,-11.0,15.0
3,1,1,Kennett,40.9167,3,1,4,4,17.5,2.5,4.25,16.6667
3,1,2,Ste. Genevieve,38.5833,3,1,4,4,17.5,0.0,5.25,15.8333
3,1,3,Perryville,35.8333,2,2,4,4,15.0,5.0,0.0,15.8333
3,1,4,Fredericktown,29.5833,2,2,4,4,15.0,0.0,-1.25,15.8333
3,1,5,Dexter,28.3333,1,3,4,4,12.5,2.5,-2.5,15.8333
3,1,6,Doniphan,21.0,1,3,4,4,12.5,0.0,-1.5,10.0
3,1,7,Scott City with Chaffee,13.0,0,4,4,4,10.0,0.0,-12.0,15.0
3,2,1,St. Pius X (Festus),45.6667,3,1,4,4,17.5,7.5,6.5,14.1667
3,2,2,St. Clair,39.4167,3,1,4,4,17.5,2.5,5.25,14.1667
3,2,3,Potosi,33.9167,2,2,4,4,15.0,0.0,2.25,16.6667
3,2,4,Central (Park Hills),26.0,1,3,4,4,12.5,2.5,-6.5,17.5
3,2,5,Herculaneum,24.3333,1,3,4,4,12.5,2.5,-6.5,15.8333
3,2,6,Lutheran South,22.1364,1,3,4,4,12.5,2.5,-6.5,13.6364
3,3,1,MICDS,48.25,3,1,4,4,17.5,7.5,5.75,17.5
